1 2 53 4
 1.00  3.00  1.00  0
 1.00  4.00  1.00  0
 1.00  5.00  1.00  0
 1.00  6.00  1.00  0
 2.00  2.00  1.00  2
 2.00  3.00  0.00  1
 2.00  4.00  0.00  1
 2.00  5.00  0.00  1
 2.00  6.00  0.00  1
 2.00  7.00  1.00  3
 3.00  1.00  1.00  2
 3.00  2.00  1.00  2
 3.00  3.00  1.00  2
 3.00  4.00  0.00  1
 3.00  5.00  0.00  1
 3.00  6.00  1.00  3
 3.00  7.00  1.00  3
 4.00  1.00  1.00  2
 4.00  2.00  1.00  2
 4.00  3.00  0.00  1
 4.00  4.00  0.00  1
 4.00  5.00  1.00  8
 4.00  6.00  0.00  1
 4.00  7.00  1.00  3
 4.00  8.00  1.00  3
 5.00  1.00  1.00  2
 5.00  2.00  0.00  1
 5.00  3.00  0.00  1
 5.00  4.00  0.00  1
 5.00  5.00  0.00  1
 5.00  6.00  0.00  1
 5.00  7.00  1.00  3
 5.00  8.00  1.00  3
 6.00  1.00  1.00  2
 6.00  2.00  0.00  1
 6.00  3.00  1.00  3
 6.00  4.00  1.00  3
 6.00  5.00  1.00  3
 6.00  6.00  1.00  3
 6.00  7.00  1.00  3
 7.00  1.00  1.00  2
 7.00  2.00  0.00  1
 7.00  3.00  0.00  1
 7.00  4.00  0.00  1
 7.00  5.00  1.00  3
 8.00  1.00  1.00  2
 8.00  2.00  1.00  2
 8.00  3.00  0.00  1
 8.00  4.00  1.00  3
 8.00  5.00  1.00  3
 8.00  6.00  1.00  3
 9.00  2.00  1.00  2
 9.00  3.00  1.00  2

